"Ano Lançamento","Mês Base Lançamento","Esfera Orçamentária",,"UO - Órgão Máximo",,"Unidade Orçamentária",,"Grupo Despesa",,"Modalidade Aplicação",,"Resultado EOF",,"Função Governo",,"Subfunção Governo",,"Programa Governo",,"Ação Governo",,"Região PT","UF PT",,"Município PT","Movim. Líquido - R$ (Item Informação)"
"2025","JANEIRO","1","ORCAMENTO FISCAL","12000","JUSTICA FEDERAL","12101","JUSTICA FEDERAL DE PRIMEIRO GRAU","5","INVERSOES FINANCEIRAS","90","APLICACOES DIRETAS","2","PRIMARIO DISCRICIONARIO","02","JUDICIARIA","122","ADMINISTRACAO GERAL","0033","PROGRAMA DE GESTAO E MANUTENCAO DO PODER JUDICIARIO","166Y","AQUISICAO DE EDIFICIO-SEDE DA JUSTICA FEDERAL EM OSASCO - SP","SUDESTE","SP","SAO PAULO","OSASCO","804.375,00"
"2025","JANEIRO","1","ORCAMENTO FISCAL","12000","JUSTICA FEDERAL","12101","JUSTICA FEDERAL DE PRIMEIRO GRAU","4","INVESTIMENTOS","90","APLICACOES DIRETAS","2","PRIMARIO DISCRICIONARIO","02","JUDICIARIA","061","ACAO JUDICIARIA","0033","PROGRAMA DE GESTAO E MANUTENCAO DO PODER JUDICIARIO","21H3","RECUPERACAO DAS UNIDADES DA JUSTICA FEDERAL NO RIO GRANDE SU","SUL","RS","RIO GRANDE DO SUL","SEM INFORMACAO","480.245,73"
"2025","JANEIRO","1","ORCAMENTO FISCAL","12000","JUSTICA FEDERAL","12101","JUSTICA FEDERAL DE PRIMEIRO GRAU","4","INVESTIMENTOS","90","APLICACOES DIRETAS","2","PRIMARIO DISCRICIONARIO","02","JUDICIARIA","061","ACAO JUDICIARIA","0033","PROGRAMA DE GESTAO E MANUTENCAO DO PODER JUDICIARIO","4257","JULGAMENTO DE CAUSAS NA JUSTICA FEDERAL","NACIONAL","-8","SEM INFORMACAO","SEM INFORMACAO","7.530.012,75"
"2025","JANEIRO","1","ORCAMENTO FISCAL","12000","JUSTICA FEDERAL","12101","JUSTICA FEDERAL DE PRIMEIRO GRAU","4","INVESTIMENTOS","90","APLICACOES DIRETAS","2","PRIMARIO DISCRICIONARIO","02","JUDICIARIA","122","ADMINISTRACAO GERAL","0033","PROGRAMA DE GESTAO E MANUTENCAO DO PODER JUDICIARIO","11JL","CONSTRUCAO DO EDIFICIO-SEDE DA JUSTICA FEDERAL EM FOZ DO IGU","SUL","PR","PARANA","FOZ DO IGUACU","119.410,15"
"2025","JANEIRO","1","ORCAMENTO FISCAL","12000","JUSTICA FEDERAL","12101","JUSTICA FEDERAL DE PRIMEIRO GRAU","4","INVESTIMENTOS","90","APLICACOES DIRETAS","2","PRIMARIO DISCRICIONARIO","02","JUDICIARIA","122","ADMINISTRACAO GERAL","0033","PROGRAMA DE GESTAO E MANUTENCAO DO PODER JUDICIARIO","11KR","CONSTRUCAO DO EDIFICIO-SEDE DA JUSTICA FEDERAL EM BLUMENAU -","SUL","SC","SANTA CATARINA","BLUMENAU","1.208.119,52"
"2025","JANEIRO","1","ORCAMENTO FISCAL","12000","JUSTICA FEDERAL","12101","JUSTICA FEDERAL DE PRIMEIRO GRAU","4","INVESTIMENTOS","90","APLICACOES DIRETAS","2","PRIMARIO DISCRICIONARIO","02","JUDICIARIA","122","ADMINISTRACAO GERAL","0033","PROGRAMA DE GESTAO E MANUTENCAO DO PODER JUDICIARIO","14YI","CONSTRUCAO DO EDIFICIO-SEDE DA JUSTICA FEDERAL EM JUINA - MT","CENTRO-OESTE","MT","MATO GROSSO","JUINA","13.064,89"
"2025","JANEIRO","1","ORCAMENTO FISCAL","12000","JUSTICA FEDERAL","12101","JUSTICA FEDERAL DE PRIMEIRO GRAU","4","INVESTIMENTOS","90","APLICACOES DIRETAS","2","PRIMARIO DISCRICIONARIO","02","JUDICIARIA","122","ADMINISTRACAO GERAL","0033","PROGRAMA DE GESTAO E MANUTENCAO DO PODER JUDICIARIO","15S8","IMPLANTACAO DE SISTEMA DE ENERGIA SOLAR NA JUSTICA FEDERAL D","NACIONAL","-8","SEM INFORMACAO","SEM INFORMACAO","1.422.204,77"
"2025","JANEIRO","1","ORCAMENTO FISCAL","12000","JUSTICA FEDERAL","12101","JUSTICA FEDERAL DE PRIMEIRO GRAU","4","INVESTIMENTOS","90","APLICACOES DIRETAS","2","PRIMARIO DISCRICIONARIO","02","JUDICIARIA","122","ADMINISTRACAO GERAL","0033","PROGRAMA DE GESTAO E MANUTENCAO DO PODER JUDICIARIO","15ZS","IMPLANTACAO DE USINA FOTOVOLTAICA NO EDIFICIO-SEDE DA JUSTIC","SUL","SC","SANTA CATARINA","CRICIUMA","10.817,71"
"2025","JANEIRO","1","ORCAMENTO FISCAL","12000","JUSTICA FEDERAL","12101","JUSTICA FEDERAL DE PRIMEIRO GRAU","4","INVESTIMENTOS","90","APLICACOES DIRETAS","2","PRIMARIO DISCRICIONARIO","02","JUDICIARIA","122","ADMINISTRACAO GERAL","0033","PROGRAMA DE GESTAO E MANUTENCAO DO PODER JUDICIARIO","219Z","CONSERVACAO E RECUPERACAO DE ATIVOS DE INFRAESTRUTURA DA UNI","NACIONAL","-8","SEM INFORMACAO","SEM INFORMACAO","862.958,55"
"2025","JANEIRO","1","ORCAMENTO FISCAL","12000","JUSTICA FEDERAL","12101","JUSTICA FEDERAL DE PRIMEIRO GRAU","4","INVESTIMENTOS","90","APLICACOES DIRETAS","2","PRIMARIO DISCRICIONARIO","02","JUDICIARIA","122","ADMINISTRACAO GERAL","0033","PROGRAMA DE GESTAO E MANUTENCAO DO PODER JUDICIARIO","219Z","CONSERVACAO E RECUPERACAO DE ATIVOS DE INFRAESTRUTURA DA UNI","NORDESTE","-8","SEM INFORMACAO","SEM INFORMACAO","449.597,87"
"2025","JANEIRO","1","ORCAMENTO FISCAL","12000","JUSTICA FEDERAL","12101","JUSTICA FEDERAL DE PRIMEIRO GRAU","4","INVESTIMENTOS","90","APLICACOES DIRETAS","2","PRIMARIO DISCRICIONARIO","02","JUDICIARIA","122","ADMINISTRACAO GERAL","0033","PROGRAMA DE GESTAO E MANUTENCAO DO PODER JUDICIARIO","219Z","CONSERVACAO E RECUPERACAO DE ATIVOS DE INFRAESTRUTURA DA UNI","SUDESTE","MG","MINAS GERAIS","SEM INFORMACAO","9.061,50"
"2025","JANEIRO","1","ORCAMENTO FISCAL","12000","JUSTICA FEDERAL","12101","JUSTICA FEDERAL DE PRIMEIRO GRAU","4","INVESTIMENTOS","90","APLICACOES DIRETAS","2","PRIMARIO DISCRICIONARIO","02","JUDICIARIA","122","ADMINISTRACAO GERAL","0033","PROGRAMA DE GESTAO E MANUTENCAO DO PODER JUDICIARIO","219Z","CONSERVACAO E RECUPERACAO DE ATIVOS DE INFRAESTRUTURA DA UNI","SUDESTE","-8","SEM INFORMACAO","SEM INFORMACAO","116.034,44"
"2025","JANEIRO","1","ORCAMENTO FISCAL","12000","JUSTICA FEDERAL","12101","JUSTICA FEDERAL DE PRIMEIRO GRAU","4","INVESTIMENTOS","90","APLICACOES DIRETAS","2","PRIMARIO DISCRICIONARIO","02","JUDICIARIA","122","ADMINISTRACAO GERAL","0033","PROGRAMA DE GESTAO E MANUTENCAO DO PODER JUDICIARIO","219Z","CONSERVACAO E RECUPERACAO DE ATIVOS DE INFRAESTRUTURA DA UNI","SUL","-8","SEM INFORMACAO","SEM INFORMACAO","328.755,47"
"2025","JANEIRO","1","ORCAMENTO FISCAL","12000","JUSTICA FEDERAL","12102","TRIBUNAL REGIONAL FEDERAL DA 1A. REGIAO","4","INVESTIMENTOS","90","APLICACOES DIRETAS","2","PRIMARIO DISCRICIONARIO","02","JUDICIARIA","061","ACAO JUDICIARIA","0033","PROGRAMA DE GESTAO E MANUTENCAO DO PODER JUDICIARIO","4257","JULGAMENTO DE CAUSAS NA JUSTICA FEDERAL","NACIONAL","-8","SEM INFORMACAO","SEM INFORMACAO","75.384,46"
"2025","JANEIRO","1","ORCAMENTO FISCAL","12000","JUSTICA FEDERAL","12102","TRIBUNAL REGIONAL FEDERAL DA 1A. REGIAO","4","INVESTIMENTOS","90","APLICACOES DIRETAS","2","PRIMARIO DISCRICIONARIO","02","JUDICIARIA","122","ADMINISTRACAO GERAL","0033","PROGRAMA DE GESTAO E MANUTENCAO DO PODER JUDICIARIO","11RV","CONSTRUCAO DO EDIFICIO-SEDE DO TRIBUNAL REGIONAL FEDERAL DA","CENTRO-OESTE","DF","DISTRITO FEDERAL","BRASILIA","1.707.846,54"
"2025","JANEIRO","1","ORCAMENTO FISCAL","12000","JUSTICA FEDERAL","12103","TRIBUNAL REGIONAL FEDERAL DA 2A. REGIAO","4","INVESTIMENTOS","90","APLICACOES DIRETAS","2","PRIMARIO DISCRICIONARIO","02","JUDICIARIA","061","ACAO JUDICIARIA","0033","PROGRAMA DE GESTAO E MANUTENCAO DO PODER JUDICIARIO","4257","JULGAMENTO DE CAUSAS NA JUSTICA FEDERAL","SUDESTE","-8","SEM INFORMACAO","SEM INFORMACAO","5.131.713,55"
"2025","JANEIRO","1","ORCAMENTO FISCAL","12000","JUSTICA FEDERAL","12103","TRIBUNAL REGIONAL FEDERAL DA 2A. REGIAO","4","INVESTIMENTOS","90","APLICACOES DIRETAS","2","PRIMARIO DISCRICIONARIO","02","JUDICIARIA","122","ADMINISTRACAO GERAL","0033","PROGRAMA DE GESTAO E MANUTENCAO DO PODER JUDICIARIO","14YQ","REFORMA DO EDIFICIO-SEDE E ANEXOS DO TRF DA 2. REGIAO - RJ","SUDESTE","RJ","RIO DE JANEIRO","RIO DE JANEIRO","77.104,83"
"2025","JANEIRO","1","ORCAMENTO FISCAL","12000","JUSTICA FEDERAL","12103","TRIBUNAL REGIONAL FEDERAL DA 2A. REGIAO","4","INVESTIMENTOS","90","APLICACOES DIRETAS","2","PRIMARIO DISCRICIONARIO","02","JUDICIARIA","122","ADMINISTRACAO GERAL","0033","PROGRAMA DE GESTAO E MANUTENCAO DO PODER JUDICIARIO","219Z","CONSERVACAO E RECUPERACAO DE ATIVOS DE INFRAESTRUTURA DA UNI","SUDESTE","-8","SEM INFORMACAO","SEM INFORMACAO","228.324,62"
"2025","JANEIRO","1","ORCAMENTO FISCAL","12000","JUSTICA FEDERAL","12104","TRIBUNAL REGIONAL FEDERAL DA 3A. REGIAO","4","INVESTIMENTOS","90","APLICACOES DIRETAS","2","PRIMARIO DISCRICIONARIO","02","JUDICIARIA","061","ACAO JUDICIARIA","0033","PROGRAMA DE GESTAO E MANUTENCAO DO PODER JUDICIARIO","4257","JULGAMENTO DE CAUSAS NA JUSTICA FEDERAL","NACIONAL","-8","SEM INFORMACAO","SEM INFORMACAO","609.248,04"
"2025","JANEIRO","1","ORCAMENTO FISCAL","12000","JUSTICA FEDERAL","12104","TRIBUNAL REGIONAL FEDERAL DA 3A. REGIAO","4","INVESTIMENTOS","90","APLICACOES DIRETAS","2","PRIMARIO DISCRICIONARIO","02","JUDICIARIA","122","ADMINISTRACAO GERAL","0033","PROGRAMA DE GESTAO E MANUTENCAO DO PODER JUDICIARIO","219Z","CONSERVACAO E RECUPERACAO DE ATIVOS DE INFRAESTRUTURA DA UNI","NACIONAL","-8","SEM INFORMACAO","SEM INFORMACAO","20.853,75"
"2025","JANEIRO","1","ORCAMENTO FISCAL","12000","JUSTICA FEDERAL","12105","TRIBUNAL REGIONAL FEDERAL DA 4A. REGIAO","4","INVESTIMENTOS","90","APLICACOES DIRETAS","2","PRIMARIO DISCRICIONARIO","02","JUDICIARIA","061","ACAO JUDICIARIA","0033","PROGRAMA DE GESTAO E MANUTENCAO DO PODER JUDICIARIO","4257","JULGAMENTO DE CAUSAS NA JUSTICA FEDERAL","SUL","-8","SEM INFORMACAO","SEM INFORMACAO","1.009.914,99"
"2025","JANEIRO","1","ORCAMENTO FISCAL","12000","JUSTICA FEDERAL","12105","TRIBUNAL REGIONAL FEDERAL DA 4A. REGIAO","4","INVESTIMENTOS","90","APLICACOES DIRETAS","2","PRIMARIO DISCRICIONARIO","02","JUDICIARIA","122","ADMINISTRACAO GERAL","0033","PROGRAMA DE GESTAO E MANUTENCAO DO PODER JUDICIARIO","219Z","CONSERVACAO E RECUPERACAO DE ATIVOS DE INFRAESTRUTURA DA UNI","SUL","-8","SEM INFORMACAO","SEM INFORMACAO","109.326,86"
"2025","JANEIRO","1","ORCAMENTO FISCAL","12000","JUSTICA FEDERAL","12106","TRIBUNAL REGIONAL FEDERAL DA 5A. REGIAO","4","INVESTIMENTOS","90","APLICACOES DIRETAS","2","PRIMARIO DISCRICIONARIO","02","JUDICIARIA","061","ACAO JUDICIARIA","0033","PROGRAMA DE GESTAO E MANUTENCAO DO PODER JUDICIARIO","4257","JULGAMENTO DE CAUSAS NA JUSTICA FEDERAL","NORDESTE","-8","SEM INFORMACAO","SEM INFORMACAO","99.286,14"
"2025","JANEIRO","1","ORCAMENTO FISCAL","12000","JUSTICA FEDERAL","12107","TRIBUNAL REGIONAL FEDERAL DA 6A. REGIAO","4","INVESTIMENTOS","90","APLICACOES DIRETAS","2","PRIMARIO DISCRICIONARIO","02","JUDICIARIA","061","ACAO JUDICIARIA","0033","PROGRAMA DE GESTAO E MANUTENCAO DO PODER JUDICIARIO","4257","JULGAMENTO DE CAUSAS NA JUSTICA FEDERAL","SUDESTE","MG","MINAS GERAIS","SEM INFORMACAO","180.670,80"
"2025","JANEIRO","1","ORCAMENTO FISCAL","13000","JUSTICA MILITAR","13101","JUSTICA MILITAR","4","INVESTIMENTOS","90","APLICACOES DIRETAS","2","PRIMARIO DISCRICIONARIO","02","JUDICIARIA","061","ACAO JUDICIARIA","0033","PROGRAMA DE GESTAO E MANUTENCAO DO PODER JUDICIARIO","4225","PROCESSAMENTO DE CAUSAS E GESTAO ADMINISTRATIVA NA JUSTICA M","NACIONAL","-8","SEM INFORMACAO","SEM INFORMACAO","375.054,06"
"2025","JANEIRO","1","ORCAMENTO FISCAL","14000","JUSTICA ELEITORAL","14101","TRIBUNAL SUPERIOR ELEITORAL","4","INVESTIMENTOS","90","APLICACOES DIRETAS","2","PRIMARIO DISCRICIONARIO","02","JUDICIARIA","061","ACAO JUDICIARIA","0033","PROGRAMA DE GESTAO E MANUTENCAO DO PODER JUDICIARIO","4269","PLEITOS ELEITORAIS","NACIONAL","-8","SEM INFORMACAO","SEM INFORMACAO","91.311,85"
"2025","JANEIRO","1","ORCAMENTO FISCAL","14000","JUSTICA ELEITORAL","14101","TRIBUNAL SUPERIOR ELEITORAL","4","INVESTIMENTOS","90","APLICACOES DIRETAS","2","PRIMARIO DISCRICIONARIO","02","JUDICIARIA","122","ADMINISTRACAO GERAL","0033","PROGRAMA DE GESTAO E MANUTENCAO DO PODER JUDICIARIO","20GP","JULGAMENTO DE CAUSAS E GESTAO ADMINISTRATIVA NA JUSTICA ELEI","NACIONAL","-8","SEM INFORMACAO","SEM INFORMACAO","1.691.373,52"
"2025","JANEIRO","1","ORCAMENTO FISCAL","14000","JUSTICA ELEITORAL","14101","TRIBUNAL SUPERIOR ELEITORAL","4","INVESTIMENTOS","90","APLICACOES DIRETAS","2","PRIMARIO DISCRICIONARIO","02","JUDICIARIA","122","ADMINISTRACAO GERAL","0033","PROGRAMA DE GESTAO E MANUTENCAO DO PODER JUDICIARIO","21EE","GESTAO DA POLITICA DE SEGURANCA DA INFORMACAO E CIBERNETICA","NACIONAL","-8","SEM INFORMACAO","SEM INFORMACAO","468.838,03"
"2025","JANEIRO","1","ORCAMENTO FISCAL","14000","JUSTICA ELEITORAL","14101","TRIBUNAL SUPERIOR ELEITORAL","4","INVESTIMENTOS","90","APLICACOES DIRETAS","2","PRIMARIO DISCRICIONARIO","02","JUDICIARIA","126","TECNOLOGIA DA INFORMACAO","0033","PROGRAMA DE GESTAO E MANUTENCAO DO PODER JUDICIARIO","21CN","GESTAO E MANUTENCAO DA IDENTIFICACAO CIVIL NACIONAL","NACIONAL","-8","SEM INFORMACAO","SEM INFORMACAO","37.281,39"
"2025","JANEIRO","1","ORCAMENTO FISCAL","14000","JUSTICA ELEITORAL","14103","TRIBUNAL REGIONAL ELEITORAL DE ALAGOAS","4","INVESTIMENTOS","90","APLICACOES DIRETAS","2","PRIMARIO DISCRICIONARIO","02","JUDICIARIA","122","ADMINISTRACAO GERAL","0033","PROGRAMA DE GESTAO E MANUTENCAO DO PODER JUDICIARIO","20GP","JULGAMENTO DE CAUSAS E GESTAO ADMINISTRATIVA NA JUSTICA ELEI","NORDESTE","AL","ALAGOAS","SEM INFORMACAO","139.703,83"
"2025","JANEIRO","1","ORCAMENTO FISCAL","14000","JUSTICA ELEITORAL","14105","TRIBUNAL REGIONAL ELEITORAL DA BAHIA","4","INVESTIMENTOS","90","APLICACOES DIRETAS","2","PRIMARIO DISCRICIONARIO","02","JUDICIARIA","122","ADMINISTRACAO GERAL","0033","PROGRAMA DE GESTAO E MANUTENCAO DO PODER JUDICIARIO","20GP","JULGAMENTO DE CAUSAS E GESTAO ADMINISTRATIVA NA JUSTICA ELEI","NORDESTE","BA","BAHIA","SEM INFORMACAO","32.032,75"
"2025","JANEIRO","1","ORCAMENTO FISCAL","14000","JUSTICA ELEITORAL","14105","TRIBUNAL REGIONAL ELEITORAL DA BAHIA","4","INVESTIMENTOS","90","APLICACOES DIRETAS","2","PRIMARIO DISCRICIONARIO","02","JUDICIARIA","122","ADMINISTRACAO GERAL","0033","PROGRAMA DE GESTAO E MANUTENCAO DO PODER JUDICIARIO","219Z","CONSERVACAO E RECUPERACAO DE ATIVOS DE INFRAESTRUTURA DA UNI","NORDESTE","BA","BAHIA","SEM INFORMACAO","829.299,06"
"2025","JANEIRO","1","ORCAMENTO FISCAL","14000","JUSTICA ELEITORAL","14106","TRIBUNAL REGIONAL ELEITORAL DO CEARA","4","INVESTIMENTOS","90","APLICACOES DIRETAS","2","PRIMARIO DISCRICIONARIO","02","JUDICIARIA","122","ADMINISTRACAO GERAL","0033","PROGRAMA DE GESTAO E MANUTENCAO DO PODER JUDICIARIO","20GP","JULGAMENTO DE CAUSAS E GESTAO ADMINISTRATIVA NA JUSTICA ELEI","NORDESTE","CE","CEARA","SEM INFORMACAO","295.214,17"
"2025","JANEIRO","1","ORCAMENTO FISCAL","14000","JUSTICA ELEITORAL","14108","TRIBUNAL REGIONAL ELEITORAL DO ESPIRITO SANTO","4","INVESTIMENTOS","90","APLICACOES DIRETAS","2","PRIMARIO DISCRICIONARIO","02","JUDICIARIA","122","ADMINISTRACAO GERAL","0033","PROGRAMA DE GESTAO E MANUTENCAO DO PODER JUDICIARIO","20GP","JULGAMENTO DE CAUSAS E GESTAO ADMINISTRATIVA NA JUSTICA ELEI","SUDESTE","ES","ESPIRITO SANTO","SEM INFORMACAO","683.640,05"
"2025","JANEIRO","1","ORCAMENTO FISCAL","14000","JUSTICA ELEITORAL","14109","TRIBUNAL REGIONAL ELEITORAL DE GOIAS","4","INVESTIMENTOS","90","APLICACOES DIRETAS","2","PRIMARIO DISCRICIONARIO","02","JUDICIARIA","122","ADMINISTRACAO GERAL","0033","PROGRAMA DE GESTAO E MANUTENCAO DO PODER JUDICIARIO","20GP","JULGAMENTO DE CAUSAS E GESTAO ADMINISTRATIVA NA JUSTICA ELEI","CENTRO-OESTE","GO","GOIAS","SEM INFORMACAO","647.786,00"
"2025","JANEIRO","1","ORCAMENTO FISCAL","14000","JUSTICA ELEITORAL","14110","TRIBUNAL REGIONAL ELEITORAL DO MARANHAO","4","INVESTIMENTOS","90","APLICACOES DIRETAS","2","PRIMARIO DISCRICIONARIO","02","JUDICIARIA","122","ADMINISTRACAO GERAL","0033","PROGRAMA DE GESTAO E MANUTENCAO DO PODER JUDICIARIO","20GP","JULGAMENTO DE CAUSAS E GESTAO ADMINISTRATIVA NA JUSTICA ELEI","NORDESTE","MA","MARANHAO","SEM INFORMACAO","366.129,71"
"2025","JANEIRO","1","ORCAMENTO FISCAL","14000","JUSTICA ELEITORAL","14110","TRIBUNAL REGIONAL ELEITORAL DO MARANHAO","4","INVESTIMENTOS","90","APLICACOES DIRETAS","2","PRIMARIO DISCRICIONARIO","02","JUDICIARIA","122","ADMINISTRACAO GERAL","0033","PROGRAMA DE GESTAO E MANUTENCAO DO PODER JUDICIARIO","219Z","CONSERVACAO E RECUPERACAO DE ATIVOS DE INFRAESTRUTURA DA UNI","NORDESTE","MA","MARANHAO","SEM INFORMACAO","2.883,49"
"2025","JANEIRO","1","ORCAMENTO FISCAL","14000","JUSTICA ELEITORAL","14111","TRIBUNAL REGIONAL ELEITORAL DE MATO GROSSO","4","INVESTIMENTOS","90","APLICACOES DIRETAS","2","PRIMARIO DISCRICIONARIO","02","JUDICIARIA","122","ADMINISTRACAO GERAL","0033","PROGRAMA DE GESTAO E MANUTENCAO DO PODER JUDICIARIO","20GP","JULGAMENTO DE CAUSAS E GESTAO ADMINISTRATIVA NA JUSTICA ELEI","CENTRO-OESTE","MT","MATO GROSSO","SEM INFORMACAO","143.433,54"
"2025","JANEIRO","1","ORCAMENTO FISCAL","14000","JUSTICA ELEITORAL","14111","TRIBUNAL REGIONAL ELEITORAL DE MATO GROSSO","4","INVESTIMENTOS","90","APLICACOES DIRETAS","2","PRIMARIO DISCRICIONARIO","02","JUDICIARIA","122","ADMINISTRACAO GERAL","0033","PROGRAMA DE GESTAO E MANUTENCAO DO PODER JUDICIARIO","219Z","CONSERVACAO E RECUPERACAO DE ATIVOS DE INFRAESTRUTURA DA UNI","CENTRO-OESTE","MT","MATO GROSSO","SEM INFORMACAO","25.913,08"
